"ISSN","TITULO","AREA DE AVALIACAO","ESTRATO"
"1844-7007","ANALELE UNIVERSIT¿¿II CONSTANTIN BRANCU¿I DIN TARGU-JIU : SERIA ECONOMIE","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"1697-7904","ANALES DE DOCUMENTACION (INTERNET)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B2"
"0211-9803","ANALES DE GEOGRAFIA DE LA UNIVERSIDAD COMPLUTENSE","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B1"
"2446-8088","ANAMORPHOSIS - REVISTA INTERNACIONAL DE DIREITO E LITERATURA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"2156-6909","ANATOLIA AN INTERNATIONAL JOURNAL OF TOURISM AND HOSPITALITY (ONLINE)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B2"
"0377-8401","ANIMAL FEED SCIENCE AND TECHNOLOGY (PRINT)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"1806-9614","ANIMAL REPRODUCTION","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B2"
"1344-3941","ANIMAL SCIENCE JOURNAL","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B1"
"1677-907X","ANIMUS (SANTA MARIA)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"2175-4977","ANIMUS: REVISTA INTERAMERICANA DE COMUNICACAO MIDIATICA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"2175-4977","ANIMUS: REVISTA INTERAMERICANA DE COMUNICACAO MIDIATICA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"1370-4788","ANNALES DE L'ECONOMIE PUBLIQUE, SOCIALE ET COOPERATIVE (ED. MULTILINGUE)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"1614-2446","ANNALS OF FINANCE (PRINT)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"0254-5330","ANNALS OF OPERATION RESEARCH","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A1"
"1572-9338","ANNALS OF OPERATIONS RESEARCH","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A1"
"1582-5949","ANNALS OF THE UNIVERSITY OF PETROSANI, ECONOMICS","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B5"
"0160-7383","ANNALS OF TOURISM RESEARCH","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A1"
"1984-4921","ANTARES: LETRAS E HUMANIDADES","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"2239-625X","ANUAC RIVISTA DELL'ASSOCIAZIONE NAZIONALI UNIVERSITARIA ANTROPOLOGI CULTURALI","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"1852-5784","ANUARIO CEEED - CENTRO DE ESTUDIOS ECONOMICOS DE LA EMPRESA Y EL DESARROLLO","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"1133-0740","ANUARIO DE PSICOLOGIA JURIDICA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B2"
"1856-9536","ANUARIO ESTUDIOS EN COMUNICACION SOCIAL DISERTACIONES","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"1983-7364","ANUARIO BRASILEIRO DE SEGURANCA PUBLICA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"0102-9924","ANALISE ECONOMICA (UFRGS)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"0003-2573","ANALISE SOCIAL","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B1"
"0888-4080","APPLIED COGNITIVE PSYCHOLOGY (PRINT)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"1466-4291","APPLIED ECONOMIC LETTERS","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A1"
"1466-4283","APPLIED ECONOMICS (ONLINE)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A1"
"0003-6846","APPLIED ECONOMICS (PRINT)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A1"
"1350-4851","APPLIED ECONOMICS LETTERS (PRINT)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A1"
